,eta,nesterov,reg_type,reg_val,tr_mee,val_mee,loss,val_loss
33,0.008,0.54,L2,3.981071705534969e-07,1.3928247577246176,1.535576930747256,1.595537765880379,1.9335068080982518
34,0.008,0.54,L2,6.30957344480193e-07,1.4095837985587873,1.5293564859517108,1.6251660126565441,1.9439219078724488
35,0.008,0.54,L2,1e-06,1.4458071889177253,1.5352701329257863,1.6995431904917238,1.9603251959797656
36,0.008,0.56,L1,1e-07,1.4013692915676372,1.5421492298783679,1.5933170159412502,1.9399762661369513
37,0.008,0.56,L1,1.584893192461114e-07,1.4620779978898477,1.558868496106003,1.7263317219541887,1.9910840362446844
38,0.008,0.56,L1,2.5118864315095823e-07,1.455060330306132,1.5479845715101448,1.7167617923266125,1.9775245600067246
39,0.008,0.56,L1,3.981071705534969e-07,1.475014081503064,1.569947593126873,1.7600392179405677,2.0125228342520463
40,0.008,0.56,L1,6.30957344480193e-07,1.4857179061336765,1.5737993385585203,1.7604082861443653,2.0067703801703813
41,0.008,0.56,L1,1e-06,1.524880204077836,1.6052111655572379,1.832966162998085,2.0577813014857944
42,0.008,0.56,L2,1e-07,1.39090164959534,1.521735417458183,1.5681773841592659,1.9112950190760758
43,0.008,0.56,L2,1.584893192461114e-07,1.4278267568019267,1.535258038504919,1.6509697837807533,1.9604074246256544
44,0.008,0.56,L2,2.5118864315095823e-07,1.3862155429585588,1.5228754107758338,1.58369184756039,1.9379591138174925
45,0.008,0.56,L2,3.981071705534969e-07,1.4005151023385032,1.525019684780009,1.6301177313390056,1.9355442861309582
46,0.008,0.56,L2,6.30957344480193e-07,1.3864303954537966,1.529209122120703,1.586528171660306,1.9396207236098082
47,0.008,0.56,L2,1e-06,1.4368780568217738,1.5350985241310642,1.6752910887028583,1.959536046591988
48,0.008,0.58,L1,1e-07,1.44745463829032,1.554313636108352,1.6997042544145027,1.9905073325690175
49,0.008,0.58,L1,1.584893192461114e-07,1.4689246567373007,1.553093129494668,1.7459519840853304,1.988136465605346
50,0.008,0.58,L1,2.5118864315095823e-07,1.4538366679775425,1.5509594764645083,1.7049447084446234,1.9844404027217595
51,0.008,0.58,L1,3.981071705534969e-07,1.4392295728719093,1.5413892598390626,1.6971928448855431,1.9750561695753472
52,0.008,0.58,L1,6.30957344480193e-07,1.476489765467705,1.5614552992518551,1.7580140662122166,2.0070144848431863
53,0.008,0.58,L1,1e-06,1.514763384042013,1.5919231443656054,1.8201732714038714,2.0362844185474
54,0.008,0.58,L2,1e-07,1.4301756132199728,1.5413660130625626,1.668064841457663,1.968177612424859
55,0.008,0.58,L2,1.584893192461114e-07,1.4041515963203468,1.5344317195383954,1.6219924143233089,1.9544355014649113
56,0.008,0.58,L2,2.5118864315095823e-07,1.4308247666933862,1.538627758366032,1.6703104569767702,1.9529452311601643
57,0.008,0.58,L2,3.981071705534969e-07,1.3743296756123211,1.5213365617892676,1.5508251021872772,1.910800672046668
58,0.008,0.58,L2,6.30957344480193e-07,1.4290450428094237,1.5289030784450146,1.6799096703900573,1.944186529991815
59,0.008,0.58,L2,1e-06,1.4324632066570464,1.5316338099576476,1.6742977138351731,1.934450973530512
60,0.008,0.6,L1,1e-07,1.4715115652264956,1.562245643162467,1.7442915422724743,2.0029130265564934
61,0.008,0.6,L1,1.584893192461114e-07,1.4373263473389783,1.549774815563616,1.6928164229823945,1.9799788676302523
62,0.008,0.6,L1,2.5118864315095823e-07,1.4354092065788056,1.5415925735959333,1.6825769193176232,1.9720585177930008
63,0.008,0.6,L1,3.981071705534969e-07,1.4356372484889002,1.529407334307866,1.6746807565643422,1.953153890415262
64,0.008,0.6,L1,6.30957344480193e-07,1.4892493536404245,1.564577473639491,1.7762017174930678,1.9963477662829865
65,0.008,0.6,L1,1e-06,1.4932122746529393,1.5632081637197774,1.7934986530499437,1.985720760637535
66,0.008,0.6,L2,1e-07,1.378845334903538,1.5337339210872916,1.559065129553317,1.9278190993889588
67,0.008,0.6,L2,1.584893192461114e-07,1.3974887474547184,1.5221215787549236,1.594663734848125,1.9319043242094753
68,0.008,0.6,L2,2.5118864315095823e-07,1.379903587733333,1.524846862907826,1.578515854023017,1.931019506659598
69,0.008,0.6,L2,3.981071705534969e-07,1.4359589676379285,1.5439994992636592,1.672518311148534,1.9724221070664665
70,0.008,0.6,L2,6.30957344480193e-07,1.3885866930364308,1.5301106978210823,1.5856611654614607,1.9436383998928217
71,0.008,0.6,L2,1e-06,1.4380244771962076,1.5345390245575181,1.691760049030375,1.9544185687472033
72,0.01,0.5,L1,1e-07,1.429863844962215,1.5437773291723413,1.662108927471051,1.9544782101667912
73,0.01,0.5,L1,1.584893192461114e-07,1.4412549894058524,1.5440495293485543,1.6916960616196224,1.974393694849531
74,0.01,0.5,L1,2.5118864315095823e-07,1.4738096297788286,1.5645412561524938,1.747865657812684,1.9950659980723584
75,0.01,0.5,L1,3.981071705534969e-07,1.4464945894360153,1.5480618739755128,1.7103028302502148,1.978982461820279
76,0.01,0.5,L1,6.30957344480193e-07,1.4998795299119678,1.5782396673357661,1.7960795673600103,2.0135172048426813
77,0.01,0.5,L1,1e-06,1.5204060354253899,1.5910989609434447,1.831221731369741,2.026900569952588
78,0.01,0.5,L2,1e-07,1.4484587551842198,1.5439002633770755,1.7110171495795263,1.9718012382940773
79,0.01,0.5,L2,1.584893192461114e-07,1.448428788459158,1.5455086520432744,1.6979377650316874,1.9662295632922355
80,0.01,0.5,L2,2.5118864315095823e-07,1.4071310327113384,1.5313712984174428,1.6263413799871038,1.9595897416726185
81,0.01,0.5,L2,3.981071705534969e-07,1.4068158922666611,1.530781055679218,1.6383694736806749,1.9547671447679944
82,0.01,0.5,L2,6.30957344480193e-07,1.374794745554895,1.5228110022012677,1.5551023135087594,1.920658147836522
83,0.01,0.5,L2,1e-06,1.437642652255261,1.5338004409823054,1.6870805213297144,1.9528028171835465
84,0.01,0.52,L1,1e-07,1.4223757766906282,1.542672214954436,1.6572307381151479,1.97797859266654
85,0.01,0.52,L1,1.584893192461114e-07,1.448241296738793,1.5492534891830712,1.7090072466549542,1.9795594537806307
86,0.01,0.52,L1,2.5118864315095823e-07,1.448518666523891,1.5422087867632142,1.7173484486212105,1.9636992183117856
87,0.01,0.52,L1,3.981071705534969e-07,1.4618847587122674,1.5551981654583924,1.7294855024139604,1.9911490421956046
88,0.01,0.52,L1,6.30957344480193e-07,1.4592691572288097,1.5580314224038811,1.7088657692002442,1.989637037511122
89,0.01,0.52,L1,1e-06,1.523340859142542,1.600010566358512,1.8361836799896096,2.0479845961473147
90,0.01,0.52,L2,1e-07,1.4176592081483437,1.534515738588112,1.6290714837091171,1.9442430815770513
91,0.01,0.52,L2,1.584893192461114e-07,1.4144382070497816,1.5444072543561944,1.6439472694167074,1.9486222827322826
92,0.01,0.52,L2,2.5118864315095823e-07,1.4395872954236921,1.5396627644009524,1.6867348747004651,1.9609343762241809
93,0.01,0.52,L2,3.981071705534969e-07,1.409348811613772,1.5268303173811681,1.6337317195375816,1.9428258940182257
